3.34946 0 -2.47257 -1.09601 -9.87086 1.2243 -1.22791 -9.86811 -8.3629 -1.21265 
5.91789 0.280891 -6.24676 -3.59332 9.19539 7.28308 4.49172 5.63396 -0.561115 -3.97158 
-5.58592 -3.0103 -5.84953 8.50947 1.91307 -4.71862 -3.27657 3.2093 -0.561601 1.20323 
8.92798 -7.21214 5.81561 -3.54458 1.69185 5.94475 7.67972 -9.53607 6.07664 9.31681 
-0.748714 1.99453 -0.402297 3.00453 8.40121 -1.20691 0.287607 2.89293 -5.57294 9.72649 
8.92136 -1.15886 -3.28381 -6.92817 -2.64939 8.62926 -1.6468 4.07404 1.83856 7.7916 
-4.72273 0.766543 -9.42054 -8.90711 7.22196 2.27131 7.03764 4.90168 2.73524 3.11429 
4.21849 -8.01347 -4.89118 -6.18381 4.99105 -6.48997 2.60928 -4.72134 6.40297 7.03634 
-4.99485 5.32432 -4.12253 1.72134 8.39615 3.22808 0.350607 -3.25064 -2.69787 -7.81083 
-5.45904 2.5794 2.95571 -4.87958 3.67229 0.17767 7.39173 0.709933 -4.92066 1 
